County,State,Year,Population,Population Change,Total Population Change,Births,Deaths,International Immigration,Net Domestic Migration
Anderson County, Texas,1970,27789,,,,,,
Anderson County, Texas,1971,29500,6.1571,1711,,,,
Anderson County, Texas,1972,30700,4.0678,1200,,,,
Anderson County, Texas,1973,30600,-0.3257,-100,,,,
Anderson County, Texas,1974,30900,0.9804,300,,,,
Anderson County, Texas,1975,32100,3.8835,1200,,,,
Anderson County, Texas,1976,33500,4.3614,1400,,,,
Anderson County, Texas,1977,34800,3.8806,1300,,,,
Anderson County, Texas,1978,36500,4.8851,1700,,,,
Anderson County, Texas,1979,38000,4.1096,1500,,,,
Anderson County, Texas,1980,38381,1.0026,381,,,,
Anderson County, Texas,1981,40730,6.1202,2349,,,,
Anderson County, Texas,1982,41873,2.8063,1143,626,423,,
Anderson County, Texas,1983,44378,5.9824,2505,644,448,,
Anderson County, Texas,1984,45215,1.8861,837,639,442,,
Anderson County, Texas,1985,46020,1.7804,805,679,439,,
Anderson County, Texas,1986,46495,1.0322,475,674,436,,
Anderson County, Texas,1987,46256,-0.514,-239,634,457,,
Anderson County, Texas,1988,48084,3.9519,1828,652,449,,
Anderson County, Texas,1989,48602,1.0773,518,649,439,,
Anderson County, Texas,1990,48024,-1.1893,-578,470,335,,
Anderson County, Texas,1991,48284,0.5414,260,630,468,,
Anderson County, Texas,1992,48618,0.6917,334,593,438,26,-84
Anderson County, Texas,1993,49763,2.3551,1145,618,379,48,621
Anderson County, Texas,1994,50729,1.9412,966,585,503,40,580
Anderson County, Texas,1995,53094,4.662,2365,648,480,29,1828
Anderson County, Texas,1996,53510,0.7835,416,557,505,55,59
Anderson County, Texas,1997,54051,1.011,541,656,538,81,115
Anderson County, Texas,1998,54290,0.4422,239,630,545,69,-140
Anderson County, Texas,1999,54876,1.0794,586,673,547,75,-101
Anderson County, Texas,2000,55109,0.4246,233,,,,
Anderson County, Texas,2001,54263,-1.5351,-846,648,595,71,-1050
Anderson County, Texas,2002,54740,0.8791,477,700,591,66,137
Anderson County, Texas,2003,56068,2.426,1328,640,592,64,1099
Anderson County, Texas,2004,56245,0.3157,177,660,613,57,-57
Anderson County, Texas,2005,56873,1.1165,628,666,567,61,348
Anderson County, Texas,2006,57386,0.902,513,659,601,59,272
Anderson County, Texas,2007,57870,0.8434,484,679,595,53,239
Anderson County, Texas,2008,57963,0.1607,93,643,595,51,-151
Anderson County, Texas,2009,58410,0.7712,447,656,636,54,195
Anderson County, Texas,2010,58458,0.0822,48,149,104,2,-3
Anderson County, Texas,2011,58394,-0.1095,-64,595,642,-10,-39
Anderson County, Texas,2012,58059,-0.5737,-335,565,625,5,-279
Anderson County, Texas,2013,57960,-0.1705,-99,583,616,31,-86
Anderson County, Texas,2014,57829,-0.226,-131,589,702,47,-51
Anderson County, Texas,2015,57639,-0.3286,-190,582,613,58,-215
Anderson County, Texas,2016,57526,-0.196,-113,614,673,52,-105
Anderson County, Texas,2017,58175,1.1282,649,608,677,44,668
Anderson County, Texas,2018,57974,-0.3455,-201,587,806,32,-12
Anderson County, Texas,2019,57735,-0.4123,-239,588,754,32,-104
Andrews County, Texas,1970,10372,,,,,,
Andrews County, Texas,1971,11000,6.0548,628,,,,
Andrews County, Texas,1972,11100,0.9091,100,,,,
Andrews County, Texas,1973,10600,-4.5045,-500,,,,
Andrews County, Texas,1974,10800,1.8868,200,,,,
Andrews County, Texas,1975,11700,8.3333,900,,,,
Andrews County, Texas,1976,11900,1.7094,200,,,,
Andrews County, Texas,1977,12000,0.8403,100,,,,
Andrews County, Texas,1978,12400,3.3333,400,,,,
Andrews County, Texas,1979,12800,3.2258,400,,,,
Andrews County, Texas,1980,13323,4.0859,523,,,,
Andrews County, Texas,1981,14076,5.6519,753,,,,
Andrews County, Texas,1982,15142,7.5732,1066,363,103,,
Andrews County, Texas,1983,15742,3.9625,600,359,95,,
Andrews County, Texas,1984,15752,0.0635,10,358,96,,
Andrews County, Texas,1985,16345,3.7646,593,373,92,,
Andrews County, Texas,1986,16509,1.0034,164,375,85,,
Andrews County, Texas,1987,15329,-7.1476,-1180,326,88,,
Andrews County, Texas,1988,14968,-2.355,-361,296,95,,
Andrews County, Texas,1989,14476,-3.287,-492,294,101,,
Andrews County, Texas,1990,14338,-0.9533,-138,208,77,,
Andrews County, Texas,1991,14404,0.4603,66,249,101,,
Andrews County, Texas,1992,14324,-0.5554,-80,264,98,50,-232
Andrews County, Texas,1993,13963,-2.5202,-361,222,111,44,-454
Andrews County, Texas,1994,13953,-0.0716,-10,209,117,38,-78
Andrews County, Texas,1995,13723,-1.6484,-230,216,109,29,-322
Andrews County, Texas,1996,13583,-1.0202,-140,199,101,35,-219
Andrews County, Texas,1997,13563,-0.1472,-20,231,119,49,-124
Andrews County, Texas,1998,13594,0.2286,31,228,111,53,-65
Andrews County, Texas,1999,13225,-2.7144,-369,236,118,39,-483
Andrews County, Texas,2000,13004,-1.6711,-221,,,,
Andrews County, Texas,2001,12856,-1.1381,-148,206,94,27,-271
Andrews County, Texas,2002,13022,1.2912,166,204,116,25,18
Andrews County, Texas,2003,12976,-0.3532,-46,206,106,24,-185
Andrews County, Texas,2004,13006,0.2312,30,199,117,23,-114
Andrews County, Texas,2005,13016,0.0769,10,214,111,26,-168
Andrews County, Texas,2006,13195,1.3752,179,203,130,24,32
Andrews County, Texas,2007,13513,2.41,318,271,126,22,106
Andrews County, Texas,2008,14099,4.3366,586,234,117,20,373
Andrews County, Texas,2009,14601,3.5605,502,256,113,22,219
Andrews County, Texas,2010,14786,1.267,185,58,13,9,10
Andrews County, Texas,2011,15386,4.0579,600,260,124,0,398
Andrews County, Texas,2012,16105,4.6731,719,287,130,5,536
Andrews County, Texas,2013,16779,4.185,674,332,120,23,429
Andrews County, Texas,2014,17435,3.9096,656,333,130,32,412
Andrews County, Texas,2015,18072,3.6536,637,346,127,38,376
Andrews County, Texas,2016,17791,-1.5549,-281,312,121,40,-514
Andrews County, Texas,2017,17603,-1.0567,-188,288,124,17,-371
Andrews County, Texas,2018,18011,2.3178,408,280,216,12,332
Andrews County, Texas,2019,18705,3.8532,694,286,189,14,583
Angelina County, Texas,1970,49349,,,,,,
Angelina County, Texas,1971,51500,4.3588,2151,,,,
Angelina County, Texas,1972,53100,3.1068,1600,,,,
Angelina County, Texas,1973,54200,2.0716,1100,,,,
Angelina County, Texas,1974,54600,0.738,400,,,,
Angelina County, Texas,1975,55900,2.381,1300,,,,
Angelina County, Texas,1976,57400,2.6834,1500,,,,
Angelina County, Texas,1977,58400,1.7422,1000,,,,
Angelina County, Texas,1978,60400,3.4247,2000,,,,
Angelina County, Texas,1979,62000,2.649,1600,,,,
Angelina County, Texas,1980,64172,3.5032,2172,,,,
Angelina County, Texas,1981,65914,2.7146,1742,,,,
Angelina County, Texas,1982,67879,2.9812,1965,1197,543,,
Angelina County, Texas,1983,68337,0.6747,458,1156,580,,
Angelina County, Texas,1984,68314,-0.0337,-23,1112,595,,
Angelina County, Texas,1985,68500,0.2723,186,1079,597,,
Angelina County, Texas,1986,69088,0.8584,588,999,605,,
Angelina County, Texas,1987,68311,-1.1247,-777,992,619,,
Angelina County, Texas,1988,68777,0.6822,466,1104,634,,
Angelina County, Texas,1989,69589,1.1806,812,1119,620,,
Angelina County, Texas,1990,69884,0.4239,295,794,452,,
Angelina County, Texas,1991,70924,1.4882,1040,1124,648,,
Angelina County, Texas,1992,72300,1.9401,1376,1165,689,91,609
Angelina County, Texas,1993,73774,2.0387,1474,1147,728,87,642
Angelina County, Texas,1994,75060,1.7432,1286,1103,688,147,514
Angelina County, Texas,1995,75896,1.1138,836,1147,694,122,50
Angelina County, Texas,1996,76852,1.2596,956,1195,723,178,107
Angelina County, Texas,1997,78051,1.5601,1199,1244,788,182,340
Angelina County, Texas,1998,79248,1.5336,1197,1295,748,147,285
Angelina County, Texas,1999,79611,0.4581,363,1276,797,120,-295
Angelina County, Texas,2000,80130,0.6519,519,,,,
Angelina County, Texas,2001,80273,0.1785,143,1261,844,192,-794
Angelina County, Texas,2002,80803,0.6602,530,1286,750,183,-367
Angelina County, Texas,2003,81510,0.875,707,1288,785,160,-146
Angelina County, Texas,2004,82070,0.687,560,1321,770,147,-362
Angelina County, Texas,2005,82553,0.5885,483,1269,767,148,-371
Angelina County, Texas,2006,83810,1.5227,1257,1386,793,147,295
Angelina County, Texas,2007,84518,0.8448,708,1339,787,132,-179
Angelina County, Texas,2008,84961,0.5241,443,1345,816,130,-397
Angelina County, Texas,2009,86029,1.257,1068,1329,811,130,201
Angelina County, Texas,2010,86771,0.8625,742,278,176,3,39
Angelina County, Texas,2011,87297,0.6062,526,1242,851,11,-6
Angelina County, Texas,2012,87509,0.2428,212,1244,820,-12,-186
Angelina County, Texas,2013,87312,-0.2251,-197,1167,881,24,-507
Angelina County, Texas,2014,87567,0.2921,255,1208,851,49,-139
Angelina County, Texas,2015,87829,0.2992,262,1199,898,65,-94
Angelina County, Texas,2016,87682,-0.1674,-147,1196,908,58,-492
Angelina County, Texas,2017,87572,-0.1255,-110,1147,916,32,-372
Angelina County, Texas,2018,86810,-0.8701,-762,1099,977,5,-889
Angelina County, Texas,2019,86715,-0.1094,-95,1071,997,6,-173
Aransas County, Texas,1970,8902,,,,,,
Aransas County, Texas,1971,9700,8.9643,798,,,,
Aransas County, Texas,1972,10400,7.2165,700,,,,
Aransas County, Texas,1973,10600,1.9231,200,,,,
Aransas County, Texas,1974,10800,1.8868,200,,,,
Aransas County, Texas,1975,11300,4.6296,500,,,,
Aransas County, Texas,1976,11700,3.5398,400,,,,
Aransas County, Texas,1977,12300,5.1282,600,,,,
Aransas County, Texas,1978,13200,7.3171,900,,,,
Aransas County, Texas,1979,14000,6.0606,800,,,,
Aransas County, Texas,1980,14260,1.8571,260,,,,
Aransas County, Texas,1981,14908,4.5442,648,,,,
Aransas County, Texas,1982,16105,8.0292,1197,258,141,,
Aransas County, Texas,1983,16519,2.5706,414,279,143,,
Aransas County, Texas,1984,17259,4.4797,740,273,145,,
Aransas County, Texas,1985,17707,2.5957,448,301,135,,
Aransas County, Texas,1986,18128,2.3776,421,303,126,,
Aransas County, Texas,1987,17972,-0.8605,-156,288,137,,
Aransas County, Texas,1988,18060,0.4897,88,281,149,,
Aransas County, Texas,1989,17954,-0.5869,-106,249,162,,
Aransas County, Texas,1990,17892,-0.3453,-62,171,127,,
Aransas County, Texas,1991,18322,2.4033,430,257,191,,
Aransas County, Texas,1992,18936,3.3512,614,241,204,17,648
Aransas County, Texas,1993,19378,2.3342,442,259,205,12,474
Aransas County, Texas,1994,20413,5.3411,1035,222,228,7,1152
Aransas County, Texas,1995,20664,1.2296,251,256,254,8,328
Aransas County, Texas,1996,21239,2.7826,575,198,244,7,696
Aransas County, Texas,1997,21888,3.0557,649,225,239,-1,750
Aransas County, Texas,1998,22135,1.1285,247,236,222,12,312
Aransas County, Texas,1999,22417,1.274,282,231,242,2,314
Aransas County, Texas,2000,22497,0.3569,80,,,,
Aransas County, Texas,2001,22287,-0.9335,-210,258,289,44,-12
Aransas County, Texas,2002,22616,1.4762,329,256,257,39,463
Aransas County, Texas,2003,22843,1.0037,227,243,244,24,361
Aransas County, Texas,2004,23067,0.9806,224,263,281,44,367
Aransas County, Texas,2005,23561,2.1416,494,268,287,40,653
Aransas County, Texas,2006,23395,-0.7046,-166,282,269,43,-57
Aransas County, Texas,2007,23172,-0.9532,-223,266,319,35,-50
Aransas County, Texas,2008,23225,0.2287,53,281,347,36,251
Aransas County, Texas,2009,23291,0.2842,66,280,297,34,264
Aransas County, Texas,2010,23158,-0.571,-133,69,93,3,41
Aransas County, Texas,2011,23216,0.2505,58,233,322,17,108
Aransas County, Texas,2012,23459,1.0467,243,246,343,9,315
Aransas County, Texas,2013,23889,1.833,430,229,344,4,526
Aransas County, Texas,2014,24566,2.8339,677,293,328,0,690
Aransas County, Texas,2015,24800,0.9525,234,248,369,-10,361
Aransas County, Texas,2016,25162,1.4597,362,259,351,-9,464
Aransas County, Texas,2017,25392,0.9141,230,253,336,-10,320
Aransas County, Texas,2018,23446,-7.6638,-1946,217,358,-11,-1799
Aransas County, Texas,2019,23510,0.273,64,193,365,-11,247
Archer County, Texas,1970,5759,,,,,,
Archer County, Texas,1971,5700,-1.0245,-59,,,,
Archer County, Texas,1972,5800,1.7544,100,,,,
Archer County, Texas,1973,6100,5.1724,300,,,,
Archer County, Texas,1974,6100,0,0,,,,
Archer County, Texas,1975,6300,3.2787,200,,,,
Archer County, Texas,1976,6400,1.5873,100,,,,
Archer County, Texas,1977,6500,1.5625,100,,,,
Archer County, Texas,1978,6700,3.0769,200,,,,
Archer County, Texas,1979,7000,4.4776,300,,,,
Archer County, Texas,1980,7266,3.8,266,,,,
Archer County, Texas,1981,7537,3.7297,271,,,,
Archer County, Texas,1982,7651,1.5125,114,105,72,,
Archer County, Texas,1983,7954,3.9603,303,120,64,,
Archer County, Texas,1984,8099,1.823,145,130,65,,
Archer County, Texas,1985,8041,-0.7161,-58,133,66,,
Archer County, Texas,1986,8069,0.3482,28,119,58,,
Archer County, Texas,1987,7980,-1.103,-89,110,58,,
Archer County, Texas,1988,8007,0.3383,27,100,71,,
Archer County, Texas,1989,7963,-0.5495,-44,96,71,,
Archer County, Texas,1990,7973,0.1256,10,80,45,,
Archer County, Texas,1991,7761,-2.659,-212,80,76,,
Archer County, Texas,1992,7728,-0.4252,-33,87,65,3,-72
Archer County, Texas,1993,7865,1.7728,137,95,76,0,106
Archer County, Texas,1994,8012,1.869,147,85,66,5,108
Archer County, Texas,1995,8224,2.646,212,99,57,4,146
Archer County, Texas,1996,8327,1.2524,103,122,63,9,25
Archer County, Texas,1997,8329,0.024,2,86,72,4,-31
Archer County, Texas,1998,8415,1.0325,86,96,60,6,29
Archer County, Texas,1999,8455,0.4753,40,88,74,6,-45
Archer County, Texas,2000,8854,4.7191,399,,,,
Archer County, Texas,2001,8849,-0.0565,-5,84,83,3,-117
Archer County, Texas,2002,8942,1.051,93,91,67,3,66
Archer County, Texas,2003,9013,0.794,71,97,67,0,35
Archer County, Texas,2004,9078,0.7212,65,126,74,2,5
Archer County, Texas,2005,9068,-0.1102,-10,107,80,1,-46
Archer County, Texas,2006,9063,-0.0551,-5,82,85,2,-17
Archer County, Texas,2007,9026,-0.4083,-37,93,69,0,-66
Archer County, Texas,2008,9104,0.8642,78,94,71,1,52
Archer County, Texas,2009,9023,-0.8897,-81,126,83,0,-109
Archer County, Texas,2010,9054,0.3436,31,21,12,0,47
Archer County, Texas,2011,8840,-2.3636,-214,65,63,4,-286
Archer County, Texas,2012,8816,-0.2715,-24,70,73,3,-26
Archer County, Texas,2013,8801,-0.1701,-15,69,81,1,-2
Archer County, Texas,2014,8844,0.4886,43,68,83,2,56
Archer County, Texas,2015,8763,-0.9159,-81,96,77,0,-101
Archer County, Texas,2016,8781,0.2054,18,84,100,0,35
Archer County, Texas,2017,8783,0.0228,2,77,97,0,21
Archer County, Texas,2018,8700,-0.945,-83,67,151,0,0
Archer County, Texas,2019,8553,-1.6897,-147,70,144,0,-72
Armstrong County, Texas,1970,1895,,,,,,
Armstrong County, Texas,1971,1900,0.2639,5,,,,
Armstrong County, Texas,1972,1700,-10.5263,-200,,,,
Armstrong County, Texas,1973,1900,11.7647,200,,,,
Armstrong County, Texas,1974,1700,-10.5263,-200,,,,
Armstrong County, Texas,1975,1800,5.8824,100,,,,
Armstrong County, Texas,1976,1900,5.5556,100,,,,
Armstrong County, Texas,1977,1900,0,0,,,,
Armstrong County, Texas,1978,1900,0,0,,,,
Armstrong County, Texas,1979,1900,0,0,,,,
Armstrong County, Texas,1980,1994,4.9474,94,,,,
Armstrong County, Texas,1981,2006,0.6018,12,,,,
Armstrong County, Texas,1982,1967,-1.9442,-39,32,25,,
Armstrong County, Texas,1983,2045,3.9654,78,33,27,,
Armstrong County, Texas,1984,2022,-1.1247,-23,27,24,,
Armstrong County, Texas,1985,2054,1.5826,32,20,20,,
Armstrong County, Texas,1986,2197,6.962,143,23,22,,
Armstrong County, Texas,1987,2175,-1.0014,-22,23,24,,
Armstrong County, Texas,1988,2108,-3.0805,-67,16,23,,
Armstrong County, Texas,1989,2043,-3.0835,-65,18,26,,
Armstrong County, Texas,1990,2021,-1.0768,-22,17,21,,
Armstrong County, Texas,1991,1935,-4.2553,-86,19,27,,
Armstrong County, Texas,1992,1930,-0.2584,-5,20,27,10,-1
Armstrong County, Texas,1993,2003,3.7824,73,21,27,1,88
Armstrong County, Texas,1994,2040,1.8472,37,24,18,1,42
Armstrong County, Texas,1995,2061,1.0294,21,27,33,1,33
Armstrong County, Texas,1996,2095,1.6497,34,13,22,0,53
Armstrong County, Texas,1997,2131,1.7184,36,33,26,1,36
Armstrong County, Texas,1998,2081,-2.3463,-50,27,36,1,-22
Armstrong County, Texas,1999,2116,1.6819,35,34,26,1,29
Armstrong County, Texas,2000,2148,1.5123,32,,,,
Armstrong County, Texas,2001,2128,-0.9311,-20,17,23,1,-9
Armstrong County, Texas,2002,2036,-4.3233,-92,26,27,1,-78
Armstrong County, Texas,2003,2001,-1.7191,-35,19,28,1,-9
Armstrong County, Texas,2004,2023,1.0995,22,24,29,0,49
Armstrong County, Texas,2005,2037,0.692,14,27,27,1,31
Armstrong County, Texas,2006,1989,-2.3564,-48,21,25,0,-25
Armstrong County, Texas,2007,1936,-2.6647,-53,19,24,1,-31
Armstrong County, Texas,2008,1936,0,0,31,15,0,6
Armstrong County, Texas,2009,1911,-1.2913,-25,28,14,1,-39
Armstrong County, Texas,2010,1901,-0.5233,-10,5,2,0,-2
Armstrong County, Texas,2011,1936,1.8411,35,18,27,5,39
Armstrong County, Texas,2012,1953,0.8781,17,21,28,5,19
Armstrong County, Texas,2013,1940,-0.6656,-13,29,36,0,-8
Armstrong County, Texas,2014,1913,-1.3918,-27,18,29,0,-15
Armstrong County, Texas,2015,1901,-0.6273,-12,19,28,0,-4
Armstrong County, Texas,2016,1843,-3.051,-58,19,43,0,-34
Armstrong County, Texas,2017,1867,1.3022,24,19,22,0,28
Armstrong County, Texas,2018,1879,0.6427,12,22,17,0,5
Armstrong County, Texas,2019,1887,0.4258,8,19,20,0,10
Atascosa County, Texas,1970,18696,,,,,,
Atascosa County, Texas,1971,19200,2.6958,504,,,,
Atascosa County, Texas,1972,20000,4.1667,800,,,,
Atascosa County, Texas,1973,21100,5.5,1100,,,,
Atascosa County, Texas,1974,21200,0.4739,100,,,,
Atascosa County, Texas,1975,21700,2.3585,500,,,,
Atascosa County, Texas,1976,22000,1.3825,300,,,,
Atascosa County, Texas,1977,22800,3.6364,800,,,,
Atascosa County, Texas,1978,23500,3.0702,700,,,,
Atascosa County, Texas,1979,24500,4.2553,1000,,,,
Atascosa County, Texas,1980,25055,2.2653,555,,,,
Atascosa County, Texas,1981,25595,2.1553,540,,,,
Atascosa County, Texas,1982,26475,3.4382,880,512,230,,
Atascosa County, Texas,1983,27586,4.1964,1111,509,221,,
Atascosa County, Texas,1984,28251,2.4106,665,481,237,,
Atascosa County, Texas,1985,28746,1.7522,495,524,255,,
Atascosa County, Texas,1986,29426,2.3655,680,538,256,,
Atascosa County, Texas,1987,29912,1.6516,486,512,267,,
Atascosa County, Texas,1988,30526,2.0527,614,498,277,,
Atascosa County, Texas,1989,30502,-0.0786,-24,482,265,,
Atascosa County, Texas,1990,30533,0.1016,31,353,191,,
Atascosa County, Texas,1991,31191,2.155,658,464,233,,
Atascosa County, Texas,1992,31540,1.1189,349,562,247,39,-29
Atascosa County, Texas,1993,31996,1.4458,456,498,251,50,132
Atascosa County, Texas,1994,32850,2.6691,854,504,276,27,578
Atascosa County, Texas,1995,33962,3.3851,1112,489,273,36,815
Atascosa County, Texas,1996,34934,2.862,972,537,284,52,640
Atascosa County, Texas,1997,35650,2.0496,716,568,269,61,313
Atascosa County, Texas,1998,36755,3.0996,1105,564,271,47,704
Atascosa County, Texas,1999,37736,2.669,981,582,274,53,676
Atascosa County, Texas,2000,38628,2.3638,892,,,,
Atascosa County, Texas,2001,39828,3.1066,1200,672,301,42,619
Atascosa County, Texas,2002,40767,2.3576,939,642,321,40,618
Atascosa County, Texas,2003,41306,1.3221,539,650,309,37,163
Atascosa County, Texas,2004,42109,1.944,803,680,322,42,416
Atascosa County, Texas,2005,42495,0.9167,386,650,299,41,30
Atascosa County, Texas,2006,43059,1.3272,564,651,311,43,198
Atascosa County, Texas,2007,43611,1.282,552,704,307,39,156
Atascosa County, Texas,2008,43947,0.7704,336,683,365,40,-21
Atascosa County, Texas,2009,44623,1.5382,676,694,371,38,342
Atascosa County, Texas,2010,44911,0.6454,288,151,116,1,9
Atascosa County, Texas,2011,45504,1.3204,593,670,387,-12,270
Atascosa County, Texas,2012,46438,2.0526,934,594,373,-10,704
Atascosa County, Texas,2013,47021,1.2554,583,663,374,-3,298
Atascosa County, Texas,2014,47715,1.4759,694,656,411,6,434
Atascosa County, Texas,2015,48363,1.3581,648,749,404,14,291
Atascosa County, Texas,2016,48720,0.7382,357,685,383,14,42
Atascosa County, Texas,2017,49083,0.7451,363,662,379,13,71
Atascosa County, Texas,2018,50322,2.5243,1239,710,426,8,946
Atascosa County, Texas,2019,51153,1.6514,831,710,435,8,551
Austin County, Texas,1970,13831,,,,,,
Austin County, Texas,1971,14200,2.6679,369,,,,
Austin County, Texas,1972,14100,-0.7042,-100,,,,
Austin County, Texas,1973,14600,3.5461,500,,,,
Austin County, Texas,1974,14700,0.6849,100,,,,
Austin County, Texas,1975,15000,2.0408,300,,,,
Austin County, Texas,1976,15200,1.3333,200,,,,
Austin County, Texas,1977,15700,3.2895,500,,,,
Austin County, Texas,1978,16200,3.1847,500,,,,
Austin County, Texas,1979,17000,4.9383,800,,,,
Austin County, Texas,1980,17726,4.2706,726,,,,
Austin County, Texas,1981,18363,3.5936,637,,,,
Austin County, Texas,1982,19408,5.6908,1045,298,218,,
Austin County, Texas,1983,20148,3.8129,740,318,223,,
Austin County, Texas,1984,20588,2.1838,440,327,248,,
Austin County, Texas,1985,20794,1.0006,206,323,256,,
Austin County, Texas,1986,20812,0.0866,18,304,237,,
Austin County, Texas,1987,20226,-2.8157,-586,282,208,,
Austin County, Texas,1988,19638,-2.9071,-588,274,203,,
Austin County, Texas,1989,19526,-0.5703,-112,264,237,,
Austin County, Texas,1990,19832,1.5671,306,188,195,,
Austin County, Texas,1991,20183,1.7699,351,302,222,,
Austin County, Texas,1992,20643,2.2791,460,277,258,49,481
Austin County, Texas,1993,21159,2.4996,516,312,249,49,505
Austin County, Texas,1994,21414,1.2052,255,298,256,54,251
Austin County, Texas,1995,21822,1.9053,408,259,216,26,425
Austin County, Texas,1996,22107,1.306,285,310,234,50,252
Austin County, Texas,1997,22340,1.054,233,290,260,57,247
Austin County, Texas,1998,22723,1.7144,383,314,233,46,319
Austin County, Texas,1999,23129,1.7867,406,298,266,51,354
Austin County, Texas,2000,23590,1.9932,461,,,,
Austin County, Texas,2001,24341,3.1836,751,330,298,69,369
Austin County, Texas,2002,24818,1.9597,477,353,281,66,275
Austin County, Texas,2003,25388,2.2967,570,359,286,58,347
Austin County, Texas,2004,25976,2.3161,588,330,284,54,413
Austin County, Texas,2005,26331,1.3666,355,331,294,56,176
Austin County, Texas,2006,26828,1.8875,497,335,255,56,258
Austin County, Texas,2007,27454,2.3334,626,366,267,53,363
Austin County, Texas,2008,27935,1.752,481,374,264,53,212
Austin County, Texas,2009,28254,1.1419,319,372,258,53,45
Austin County, Texas,2010,28417,0.5769,163,66,105,13,-21
Austin County, Texas,2011,28604,0.6581,187,353,252,52,90
Austin County, Texas,2012,28562,-0.1468,-42,333,244,41,-173
Austin County, Texas,2013,28679,0.4096,117,331,263,11,43
Austin County, Texas,2014,28968,1.0077,289,340,260,22,187
Austin County, Texas,2015,29471,1.7364,503,372,286,26,389
Austin County, Texas,2016,29629,0.5361,158,347,288,29,74
Austin County, Texas,2017,29722,0.3139,93,342,295,12,36
Austin County, Texas,2018,29965,0.8176,243,321,250,2,170
Austin County, Texas,2019,30032,0.2236,67,328,274,2,13
Bailey County, Texas,1970,8487,,,,,,
Bailey County, Texas,1971,8400,-1.0251,-87,,,,
Bailey County, Texas,1972,8700,3.5714,300,,,,
Bailey County, Texas,1973,8600,-1.1494,-100,,,,
Bailey County, Texas,1974,8500,-1.1628,-100,,,,
Bailey County, Texas,1975,8600,1.1765,100,,,,
Bailey County, Texas,1976,8300,-3.4884,-300,,,,
Bailey County, Texas,1977,8200,-1.2048,-100,,,,
Bailey County, Texas,1978,8000,-2.439,-200,,,,
Bailey County, Texas,1979,8100,1.25,100,,,,
Bailey County, Texas,1980,8168,0.8395,68,,,,
Bailey County, Texas,1981,8313,1.7752,145,,,,
Bailey County, Texas,1982,8138,-2.1051,-175,179,60,,
Bailey County, Texas,1983,8172,0.4178,34,160,61,,
Bailey County, Texas,1984,7899,-3.3407,-273,140,70,,
Bailey County, Texas,1985,7769,-1.6458,-130,137,64,,
Bailey County, Texas,1986,7823,0.6951,54,135,54,,
Bailey County, Texas,1987,7477,-4.4229,-346,144,53,,
Bailey County, Texas,1988,7376,-1.3508,-101,132,55,,
Bailey County, Texas,1989,7258,-1.5998,-118,111,53,,
Bailey County, Texas,1990,7064,-2.6729,-194,82,37,,
Bailey County, Texas,1991,6908,-2.2084,-156,111,80,,
Bailey County, Texas,1992,6757,-2.1859,-151,87,59,11,-172
Bailey County, Texas,1993,6676,-1.1988,-81,113,59,24,-140
Bailey County, Texas,1994,6618,-0.8688,-58,111,77,23,-95
Bailey County, Texas,1995,6705,1.3146,87,126,58,20,24
Bailey County, Texas,1996,6673,-0.4773,-32,123,59,24,-103
Bailey County, Texas,1997,6651,-0.3297,-22,125,63,18,-87
Bailey County, Texas,1998,6695,0.6616,44,129,65,17,-6
Bailey County, Texas,1999,6579,-1.7326,-116,128,63,19,-220
Bailey County, Texas,2000,6594,0.228,15,,,,
Bailey County, Texas,2001,6636,0.6369,42,136,55,11,-133
Bailey County, Texas,2002,6637,0.0151,1,126,65,11,-158
Bailey County, Texas,2003,6791,2.3203,154,104,73,10,18
Bailey County, Texas,2004,6945,2.2677,154,133,57,10,-24
Bailey County, Texas,2005,7024,1.1375,79,141,73,10,-97
Bailey County, Texas,2006,7001,-0.3274,-23,114,68,10,-168
Bailey County, Texas,2007,6927,-1.057,-74,110,65,9,-198
Bailey County, Texas,2008,6979,0.7507,52,138,40,9,-102
Bailey County, Texas,2009,7050,1.0173,71,130,44,8,-113
Bailey County, Texas,2010,7165,1.6312,115,21,29,4,-8
Bailey County, Texas,2011,7175,0.1396,10,133,64,39,-87
Bailey County, Texas,2012,7139,-0.5017,-36,125,51,44,-159
Bailey County, Texas,2013,7124,-0.2101,-15,107,63,22,-81
Bailey County, Texas,2014,6966,-2.2179,-158,110,62,32,-243
Bailey County, Texas,2015,7223,3.6893,257,130,59,39,146
Bailey County, Texas,2016,7196,-0.3738,-27,138,66,47,-147
Bailey County, Texas,2017,7066,-1.8066,-130,134,60,28,-233
Bailey County, Texas,2018,7015,-0.7218,-51,117,42,19,-145
Bailey County, Texas,2019,7000,-0.2138,-15,124,39,23,-123
Bandera County, Texas,1970,4747,,,,,,
Bandera County, Texas,1971,4900,3.2231,153,,,,
Bandera County, Texas,1972,5200,6.1224,300,,,,
Bandera County, Texas,1973,5800,11.5385,600,,,,
Bandera County, Texas,1974,5700,-1.7241,-100,,,,
Bandera County, Texas,1975,6000,5.2632,300,,,,
Bandera County, Texas,1976,6000,0,0,,,,
Bandera County, Texas,1977,6300,5,300,,,,
Bandera County, Texas,1978,6500,3.1746,200,,,,
Bandera County, Texas,1979,6700,3.0769,200,,,,
Bandera County, Texas,1980,7084,5.7313,384,,,,
Bandera County, Texas,1981,7173,1.2564,89,,,,
